image,ground_truth_tags,predicted_tags,correct_tags,false_positives,false_negatives,num_false_positives,num_false_negatives,precision,recall,f1_score
test4,"1boy, 1girl, ahoge, araragi koyomi, back, black hair, blonde hair, blue male underwear, blush stickers, chair, crossed arms, desk, dimples of venus, dress, facing away, flipped hair, footwear bow, from behind, full body, indian style, indoors, knees together feet apart, letterboxed, long hair, looking at another, male underwear, on chair, oshino shinobu, pink skirt, sandals, school desk, shade, shadow, short hair, sitting, sitting backwards, skirt, sleeveless, sundress, topless, topless male, tree, white dress, white footwear, wide shot, yellow eyes","1boy, 1girl, ahoge, araragi koyomi, back, black hair, blonde hair, blush stickers, brother and sister, chair, crossed arms, dress, from behind, indian style, letterboxed, long hair, long legs, oshino shinobu, shadow, short hair, shorts, sitting, skirt, topless male, white skirt, yellow eyes","1boy, 1girl, ahoge, araragi koyomi, back, black hair, blonde hair, blush stickers, chair, crossed arms, dress, from behind, indian style, letterboxed, long hair, oshino shinobu, shadow, short hair, sitting, skirt, topless male, yellow eyes","brother and sister, long legs, shorts, white skirt","blue male underwear, desk, dimples of venus, facing away, flipped hair, footwear bow, full body, indoors, knees together feet apart, looking at another, male underwear, on chair, pink skirt, sandals, school desk, shade, sitting backwards, sleeveless, sundress, topless, tree, white dress, white footwear, wide shot",4,24,0.8461538461538461,0.4782608695652174,0.6111111111111112
0SxBXLP,"1girl, barefoot, blonde hair, bloom, crack, dark, dot nose, dress, expressionless, flipped hair, full body, goggles, goggles on headwear, hair flaps, helmet, hugging own legs, indoors, knees up, long hair, looking to the side, oshino shinobu, pink dress, school desk, sitting, solo, strap slip, window, yellow eyes","1girl, barefoot, blonde hair, brown eyes, closed eyes, dress, goggles, goggles on head, goggles on headwear, green hair, hands on another's cheeks, hands on another's face, helmet, hugging own legs, indoors, long hair, oshino shinobu, pink dress, sad, sitting, solo, strap slip, tears, yellow eyes","1girl, barefoot, blonde hair, dress, goggles, goggles on headwear, helmet, hugging own legs, indoors, long hair, oshino shinobu, pink dress, sitting, solo, strap slip, yellow eyes","brown eyes, closed eyes, goggles on head, green hair, hands on another's cheeks, hands on another's face, sad, tears","bloom, crack, dark, dot nose, expressionless, flipped hair, full body, hair flaps, knees up, looking to the side, school desk, window",8,12,0.6666666666666666,0.5714285714285714,0.6153846153846153
GdjyZ8t,"1boy, 1girl, araragi koyomi, arms at sides, bare arms, bare legs, black hair, blonde hair, blush, blush stickers, brown pants, bush, chain, city, closed mouth, dress, flipped hair, from side, full body, grey pants, hair flaps, halter dress, halterneck, hood, hood down, hooded jacket, long hair, long legs, looking at another, open mouth, oshino shinobu, outdoors, pants, pointy ears, profile, red bow, road, road sign, sandals, short hair, short sleeves, sleeveless, standing, street, sundress, surprised, tree, waist bow, white dress, white footwear, white jacket, wide shot, yellow eyes","1boy, 1girl, araragi koyomi, black hair, blonde hair, blush, blush stickers, bush, chain, city, closed mouth, crosswalk, dress, hair over eyes, hood, hoodie, kirisame marisa, long hair, long legs, open mouth, oshino shinobu, outdoors, pants, pointy ears, profile, road, sandals, school uniform, serafuku, short hair, street, sundress, tree, vanishing point, walking, yellow eyes","1boy, 1girl, araragi koyomi, black hair, blonde hair, blush, blush stickers, bush, chain, city, closed mouth, dress, hood, long hair, long legs, open mouth, oshino shinobu, outdoors, pants, pointy ears, profile, road, sandals, short hair, street, sundress, tree, yellow eyes","crosswalk, hair over eyes, hoodie, kirisame marisa, school uniform, serafuku, vanishing point, walking","arms at sides, bare arms, bare legs, brown pants, flipped hair, from side, full body, grey pants, hair flaps, halter dress, halterneck, hood down, hooded jacket, looking at another, red bow, road sign, short sleeves, sleeveless, standing, surprised, waist bow, white dress, white footwear, white jacket, wide shot",8,25,0.7777777777777778,0.5283018867924528,0.6292134831460674
aPnYnbG,"blue sky, building, cloud, day, no humans, outdoors, power lines, scenery, tree, utility pole, window","blue sky, building, bush, city, cloud, cloudy sky, day, fence, grass, house, lamppost, no humans, outdoors, power lines, road, scenery, sidewalk, sky, street, town, tree, utility pole, window","blue sky, building, cloud, day, no humans, outdoors, power lines, scenery, tree, utility pole, window","bush, city, cloudy sky, fence, grass, house, lamppost, road, sidewalk, sky, street, town",,12,0,0.4782608695652174,1.0,0.6470588235294118
amlEGsC,"animal, building, cat, dark, from below, house, letterboxed, night, night sky, no humans, outdoors, power lines, scenery, sky","animal, building, cat, cloud, contrail, dark, dog, fence, grey sky, house, letterboxed, night, night sky, no humans, on roof, outdoors, rooftop, scenery, shooting star, sky, solo, wide shot, wooden fence","animal, building, cat, dark, house, letterboxed, night, night sky, no humans, outdoors, scenery, sky","cloud, contrail, dog, fence, grey sky, on roof, rooftop, shooting star, solo, wide shot, wooden fence","from below, power lines",11,2,0.5217391304347826,0.8571428571428571,0.6486486486486486
frvxt83,"1girl, arms at sides, bare arms, bare legs, bare shoulders, blonde hair, blush stickers, bush, chain, cowboy shot, flipped hair, from side, long hair, oshino shinobu, pink skirt, pointy ears, profile, red bow, sleeveless, solo, tree, white dress, yellow eyes","1girl, bare shoulders, blonde hair, blush stickers, bush, chain, dress, flat chest, from side, long hair, oshino shinobu, outdoors, parted lips, pointy ears, profile, red eyes, short hair, solo, standing, sundress, tree, white dress, yellow eyes","1girl, bare shoulders, blonde hair, blush stickers, bush, chain, from side, long hair, oshino shinobu, pointy ears, profile, solo, tree, white dress, yellow eyes","dress, flat chest, outdoors, parted lips, red eyes, short hair, standing, sundress","arms at sides, bare arms, bare legs, cowboy shot, flipped hair, pink skirt, red bow, sleeveless",8,8,0.6521739130434783,0.6521739130434783,0.6521739130434783
BuyFfGW,"1boy, 1girl, ahoge, araragi koyomi, arms at sides, black hair, black pants, bloom, blue jacket, blue shirt, brown jacket, building, cat ears, cat girl, day, from side, full body, hand between legs, hood, jacket, kneeling, looking at another, looking to the side, on one knee, outdoors, oversized animal, pants, railroad tracks, road sign, shoes, short hair, sitting, torn clothes, wariza, white hair, white tiger","1boy, 1girl, ahoge, animal, animal ears, araragi koyomi, black hair, black pants, blue dress, blue jacket, building, cat ears, cat girl, day, dress, fox ears, grey hair, hood, injury, jacket, kneeling, long sleeves, looking at another, on one knee, outdoors, oversized animal, pants, railroad tracks, road sign, shirt, shoes, short hair, sitting, sleeves rolled up, tail, torn clothes, train station, white hair","1boy, 1girl, ahoge, araragi koyomi, black hair, black pants, blue jacket, building, cat ears, cat girl, day, hood, jacket, kneeling, looking at another, on one knee, outdoors, oversized animal, pants, railroad tracks, road sign, shoes, short hair, sitting, torn clothes, white hair","animal, animal ears, blue dress, dress, fox ears, grey hair, injury, long sleeves, shirt, sleeves rolled up, tail, train station","arms at sides, bloom, blue shirt, brown jacket, from side, full body, hand between legs, looking to the side, wariza, white tiger",12,10,0.6842105263157895,0.7222222222222222,0.7027027027027027
test1,":o, arm at side, arm support, back, bare legs, bare shoulders, barefoot, between legs, black dress, black footwear, black ribbon, black sailor collar, black shirt, black skirt, black socks, black vest, blonde hair, blue skirt, blush, blush stickers, buttons, clone, collarbone, collared shirt, dress, eyelashes, feet, flat chest, flipped hair, frilled skirt, frills, from behind, hand between legs, hand on own chest, hand up, high collar, holding, indoors, knee up, legs, long hair, long legs, long sleeves, looking at viewer, looking back, looking to the side, mary janes, multiple girls, multiple persona, neck ribbon, no socks, open mouth, oshino shinobu, parted lips, petite, pleated skirt, pointy ears, railing, red ribbon, ribbon, sailor collar, school uniform, serafuku, shadow, shiny skin, shirt, shirt tucked in, shoes, short sleeves, sidelocks, sitting, sitting on stairs, skirt, sleeveless, socks, stairs, standing, straight hair, strap slip, swept bangs, toes, v arms, very long hair, vest, white shirt, yellow eyes","1girl, :<, :o, age progression, bare legs, bare shoulders, barefoot, black dress, black socks, blonde hair, blue skirt, blush, blush stickers, book, clone, closed mouth, collarbone, collared shirt, doughnut, dress, feet, food, from behind, hand between legs, holding, legs, long hair, long legs, looking at viewer, looking back, mary janes, multiple girls, multiple persona, multiple views, navel, neck ribbon, open mouth, oshino shinobu, panties, parted lips, petite, pleated skirt, pointy ears, railing, ribbon, sailor collar, school uniform, shirt, shirt tucked in, shoes, short sleeves, sitting, sitting on stairs, skirt, sleeveless, socks, stairs, standing, strap slip, tears, toenails, toes, underwear, v arms, very long hair, white shirt, yellow eyes",":o, bare legs, bare shoulders, barefoot, black dress, black socks, blonde hair, blue skirt, blush, blush stickers, clone, collarbone, collared shirt, dress, feet, from behind, hand between legs, holding, legs, long hair, long legs, looking at viewer, looking back, mary janes, multiple girls, multiple persona, neck ribbon, open mouth, oshino shinobu, parted lips, petite, pleated skirt, pointy ears, railing, ribbon, sailor collar, school uniform, shirt, shirt tucked in, shoes, short sleeves, sitting, sitting on stairs, skirt, sleeveless, socks, stairs, standing, strap slip, toes, v arms, very long hair, white shirt, yellow eyes","1girl, :<, age progression, book, closed mouth, doughnut, food, multiple views, navel, panties, tears, toenails, underwear","arm at side, arm support, back, between legs, black footwear, black ribbon, black sailor collar, black shirt, black skirt, black vest, buttons, eyelashes, flat chest, flipped hair, frilled skirt, frills, hand on own chest, hand up, high collar, indoors, knee up, long sleeves, looking to the side, no socks, red ribbon, serafuku, shadow, shiny skin, sidelocks, straight hair, swept bangs, vest",13,32,0.8059701492537313,0.627906976744186,0.7058823529411764
test3,"6+girls, :<, :d, androgynous, black eyes, black hair, blonde hair, blue dress, blue eyes, blue hair, blunt bangs, blush, blush stickers, bow, bowtie, brown eyes, brown hair, brown shirt, capelet, child, closed mouth, collarbone, collared shirt, dark skin, dark-skinned female, demon girl, dot nose, dress, expressionless, fang, green eyes, grey shirt, hair between eyes, hair bow, hime cut, hood, hood up, light blush, long hair, looking at viewer, multiple girls, no mouth, no nose, open mouth, parted bangs, pinafore dress, pointy ears, profile, red eyes, ribbon, ringed eyes, shiny skin, short hair, slit pupils, smile, thick eyebrows, white hair, white shirt, yellow eyes","6+girls, :d, black eyes, black hair, blonde hair, blue eyes, blue hair, blunt bangs, blush, blush stickers, bow, brown eyes, brown hair, closed mouth, dark skin, dark-skinned female, dress, expressionless, fang, green eyes, horns, hug, kurodani yamame, long hair, looking at viewer, multicolored eyes, multiple girls, no mouth, no nose, open mouth, pointy ears, profile, red eyes, ringed eyes, school uniform, short hair, slit pupils, smile, style parody, thick eyebrows, vampire, white hair, yellow eyes","6+girls, :d, black eyes, black hair, blonde hair, blue eyes, blue hair, blunt bangs, blush, blush stickers, bow, brown eyes, brown hair, closed mouth, dark skin, dark-skinned female, dress, expressionless, fang, green eyes, long hair, looking at viewer, multiple girls, no mouth, no nose, open mouth, pointy ears, profile, red eyes, ringed eyes, short hair, slit pupils, smile, thick eyebrows, white hair, yellow eyes","horns, hug, kurodani yamame, multicolored eyes, school uniform, style parody, vampire",":<, androgynous, blue dress, bowtie, brown shirt, capelet, child, collarbone, collared shirt, demon girl, dot nose, grey shirt, hair between eyes, hair bow, hime cut, hood, hood up, light blush, parted bangs, pinafore dress, ribbon, shiny skin, white shirt",7,23,0.8372093023255814,0.6101694915254238,0.7058823529411764
test2,"1girl, bandaid, bandaid on knee, bandaid on leg, bangle, black headwear, blonde hair, blue background, blush, blush stickers, bracelet, buttons, closed mouth, coat, coat on shoulders, collarbone, contrapposto, crossed arms, fang, fang out, flat chest, flipped hair, frown, gradient background, hat, holding, jewelry, jolly roger, katana, legs apart, long hair, looking to the side, ootachi, open clothes, oshino shinobu, peaked cap, petite, pinky out, pirate hat, planted, planted sword, pointy ears, shiny skin, shirt, simple background, skull and crossbones, solo, standing, swept bangs, sword, tank top, thighs, uniform, v-shaped eyebrows, very long hair, weapon, white tank top, yellow eyes","1girl, bandaid, bandaid on knee, bandaid on leg, bangle, black headwear, blonde hair, blue background, blush stickers, bracelet, closed mouth, coat, collarbone, contrapposto, crossed arms, dress, fang, fang out, feet out of frame, flat chest, frown, hat, jacket, jacket on shoulders, jewelry, jolly roger, katana, legs apart, long hair, looking at viewer, military jacket, oshino shinobu, peaked cap, pirate hat, planted, planted sword, pointy ears, shiny skin, short dress, simple background, skin fang, skull and crossbones, solo, standing, sword, very long hair, weapon, white dress, yellow eyes","1girl, bandaid, bandaid on knee, bandaid on leg, bangle, black headwear, blonde hair, blue background, blush stickers, bracelet, closed mouth, coat, collarbone, contrapposto, crossed arms, fang, fang out, flat chest, frown, hat, jewelry, jolly roger, katana, legs apart, long hair, oshino shinobu, peaked cap, pirate hat, planted, planted sword, pointy ears, shiny skin, simple background, skull and crossbones, solo, standing, sword, very long hair, weapon, yellow eyes","dress, feet out of frame, jacket, jacket on shoulders, looking at viewer, military jacket, short dress, skin fang, white dress","blush, buttons, coat on shoulders, flipped hair, gradient background, holding, looking to the side, ootachi, open clothes, petite, pinky out, shirt, swept bangs, tank top, thighs, uniform, v-shaped eyebrows, white tank top",9,18,0.8163265306122449,0.6896551724137931,0.7476635514018692
AVP4TTU,"bare tree, black sky, cloud, cloudy sky, dark, from below, full moon, moon, night, night sky, no humans, outdoors, rope, scenery, shide, shimenawa, sky, tree, yellow theme","bare tree, black sky, branch, cloud, cloudy sky, dark, full moon, glowing, moon, moonlight, night, night sky, no humans, outdoors, rope, scenery, shide, shimenawa, sky, tree","bare tree, black sky, cloud, cloudy sky, dark, full moon, moon, night, night sky, no humans, outdoors, rope, scenery, shide, shimenawa, sky, tree","branch, glowing, moonlight","from below, yellow theme",3,2,0.85,0.8947368421052632,0.8717948717948718
blbWBQR,"1boy, 1girl, ahoge, araragi koyomi, arms at sides, bicycle, bicycle basket, black eyes, black hair, black pants, black thighhighs, blue sky, cloud, collared shirt, day, dress shirt, from side, grey skirt, lamppost, long hair, looking at another, naoetsu high school uniform, necktie, open mouth, outdoors, pants, pink shirt, pleated skirt, pocket, profile, red trim, scenery, school uniform, senjougahara hitagi, shirt, shoes, short hair, short sleeves, skirt, sky, sleeves rolled up, standing, very long hair, white shirt, wide shot, zettai ryouiki","1boy, 1girl, ahoge, araragi koyomi, arms at sides, bicycle, bicycle basket, black eyes, black hair, black pants, black thighhighs, blue sky, breasts, brown footwear, cloud, collared shirt, day, dress shirt, film grain, from side, grey skirt, hand in pocket, lamppost, long hair, looking at another, naoetsu high school uniform, necktie, open mouth, outdoors, pants, pantyhose, pink shirt, pleated skirt, pocket, profile, road, scenery, school uniform, senjougahara hitagi, serafuku, shadow, shirt, shoes, short hair, short sleeves, skirt, sky, sleeves rolled up, small breasts, standing, stool, thighhighs, very long hair, walking, white shirt, wide shot, zettai ryouiki","1boy, 1girl, ahoge, araragi koyomi, arms at sides, bicycle, bicycle basket, black eyes, black hair, black pants, black thighhighs, blue sky, cloud, collared shirt, day, dress shirt, from side, grey skirt, lamppost, long hair, looking at another, naoetsu high school uniform, necktie, open mouth, outdoors, pants, pink shirt, pleated skirt, pocket, profile, scenery, school uniform, senjougahara hitagi, shirt, shoes, short hair, short sleeves, skirt, sky, sleeves rolled up, standing, very long hair, white shirt, wide shot, zettai ryouiki","breasts, brown footwear, film grain, hand in pocket, pantyhose, road, serafuku, shadow, small breasts, stool, thighhighs, walking",red trim,12,1,0.7894736842105263,0.9782608695652174,0.8737864077669902
